complex_2,product_total
0,0
497.744,59.0343
401.921,112.35
451.591,211.871
445.214,306.724
356.12,335.465
358.188,440.753
319.698,497.302
286.455,549.494
254.617,590.916
244.665,676.842
237.743,774.842
173.501,659.969
191.639,844.331
160.838,815.64
148.621,862.965
114.119,755.367
118.08,887.633
121.074,1030.3
85.0942,817.465
69.2485,749.186
64.4915,784.119
72.5588,989.631
79.2074,1209.91
64.3732,1099.72
61.1236,1166.35
47.8531,1018.81
48.8695,1159.73
37.7442,997.52
37.2583,1095.74
30.9167,1011.09
