complex_2,product_total
3.17658,5.50936
46.4518,5.50936
47.5388,13.2887
45.197,21.2048
41.9169,28.8781
38.3753,36.1495
34.8924,42.9353
31.6265,49.1962
28.6332,54.9258
25.9141,60.1416
23.451,64.875
21.2213,69.1636
19.2033,73.0463
17.377,76.5606
15.7243,79.7409
14.2287,82.6188
12.8753,85.2231
11.6506,87.5798
10.5424,89.7123
9.5395,91.6421
8.63203,93.3883
7.81087,94.9684
7.06782,96.3982
6.39545,97.692
5.78704,98.8628
5.2365,99.9222
4.73833,100.881
4.28755,101.748
3.87965,102.533
3.51056,103.244
3.17658,103.886
